Name	Set	ImageFile	Fuerza	Coste	Raza	Tipo	Frecuencia	Habilidad
Odin	ElReto	ERT-001-126-Odin	--	1	--	Talisman	Real	Busca una carta de tu castillo y ponla en tu mano (luego debes volver a barajar tu mazo castillo) (Carta unica).
Espada Real	ElReto	ERT-002-126-EspadaReal	--	--	--	Oro	Oro	--
Argonautas	ElReto	ERT-003-126-Argonautas	1	2	--	Aliado	Vasallo	--
Rey Mono	ElReto	ERT-004-126-ReyMono	3	5	--	Aliado	Vasallo	--
Grootslang	ElReto	ERT-005-126-Grootslang	1	2	--	Aliado	Real	Puedes destruirlo, buscar un oro en tu castillo y ponerlo en juego.
Gorgonas	ElReto	ERT-006-126-Gorgonas	--	2	--	Talisman	Vasallo	Una carta de tu oponente que tu elijas tendra fuerza "0" hasta el final del turno.
Guerrero Jaguar	ElReto	ERT-007-126-GuerreroJaguar	1	3	--	Aliado	Cortesano	Cuando ataca, gana +1 a la fuerza hasta el final del turno.
Lampara Magica	ElReto	ERT-008-126-LamparaMagica	--	--	--	Oro	Oro	--
Pegaso	ElReto	ERT-009-126-Pegaso	1	1	--	Aliado	Cortesano	Si Pegaso es destruido, uno de tus aliados gana +1 a la fuerza permanentemente.
Grifo	ElReto	ERT-010-126-Grifo	2	5	--	Aliado	Vasallo	--
Ser Abominable	ElReto	ERT-011-126-SerAbominable	0	4	--	Aliado	Real	Una vez por turno puedes copiar la fuerza y habilidades de un aliado en el juego.
Bufalo Blanco	ElReto	ERT-012-126-BufaloBlanco	--	3	--	Talisman	Cortesano	Todos tus aliados ganan +1 a la fuerza hasta el final del turno.
Tesoro del Rey	ElReto	ERT-013-126-TesorodelRey	--	--	--	Oro	Oro	--
Trauko	ElReto	ERT-014-126-Trauko	2	1	--	Aliado	Real	Gana +1 a la fuerza por cada Trauko aliado en juego.
Seth	ElReto	ERT-015-126-Seth	--	1	--	Talisman	Vasallo	Mira la mano de tu oponente.
Ogro	ElReto	ERT-016-126-Ogro	1	3	--	Aliado	Vasallo	--
Vampiro	ElReto	ERT-017-126-Vampiro	0	3	--	Aliado	Cortesano	Bota X cartas de tu castillo (máximo 5) y gana un punto de fuerza por cada carta botada permanentemente.
Demonio	ElReto	ERT-018-126-Demonio	6	0	--	Aliado	Real	Para ponerla en juego, debes botar 4 cartas de tu castillo.
Centauro	ElReto	ERT-019-126-Centauro	1	3	--	Aliado	Vasallo	--
Gnomos Burlones	ElReto	ERT-020-126-GnomosBurlones	2	0	--	Aliado	Cortesano	Cuando entra en juego debes destruir uno de tus Aliados.
Fruto Sagrado	ElReto	ERT-021-126-FrutoSagrado	--	--	--	Oro	Oro	--
Oraculo de Delfos	ElReto	ERT-022-126-OraculodeDelfos	--	0	--	Talisman	Real	Al entrar en juego agrega 5 cartas de oro. (Carta unica.)
Escudo Real	ElReto	ERT-023-126-EscudoReal	--	--	--	Oro	Oro	--
Ek Chuah	ElReto	ERT-024-126-EkChuah	1	1	--	Aliado	Vasallo	Cuando ataca, tambien deben hacerlo todos los aliados habilitados para atacar.
Prometeo	ElReto	ERT-025-126-Prometeo	1	2	--	Aliado	Vasallo	--
Talos	ElReto	ERT-026-126-Talos	2	3	--	Aliado	Vasallo	--
Mara	ElReto	ERT-027-126-Mara	1	1	--	Aliado	Vasallo	Si es destruido, devuelvelo a tu mano.
